"hospital_name","package_id","package_name","recommended_age","recommended_gender","medical_history","tests_included","date","time_slot","timezone"
"City General Hospital","PKG002","Cardiac Screening","50-70","Male/Female","diabetes","ECG,stress test","2025-08-18","11:00","IST"
"Sunrise Hospital","PKG008","Men's Health Plus","40-60","Male","none","prostate screening,ECG","2025-11-27","09:30","IST"
"Apex Medical","PKG004","Diabetic Screening","30-70","Male/Female","diabetes","HbA1c,blood glucose","2025-08-05","10:30","IST"
"Sunrise Hospital","PKG007","Thyroid Screening","30-70","Female","none","TSH,T4 test","2025-12-08","16:00","IST"
"Sunrise Hospital","PKG003","Basic Checkup","18-40","Male/Female","none","blood test,urine test","2025-09-04","09:00","IST"
"City General Hospital","PKG002","Cardiac Screening","50-70","Male/Female","diabetes","ECG,stress test","2025-12-18","13:00","IST"
"Metro Health Center","PKG004","Diabetic Screening","30-70","Male/Female","diabetes","HbA1c,blood glucose","2025-09-10","11:00","IST"
"Apex Medical","PKG008","Men's Health Plus","40-60","Male","none","prostate screening,ECG","2025-11-02","12:00","IST"
"City General Hospital","PKG005","Senior Care","60+","Male/Female","none","colonoscopy,bone density","2025-09-20","11:30","IST"
"City General Hospital","PKG007","Thyroid Screening","30-70","Female","none","TSH,T4 test","2025-11-17","13:00","IST"
"Metro Health Center","PKG007","Thyroid Screening","30-70","Female","none","TSH,T4 test","2025-09-07","11:30","IST"
"Apex Medical","PKG008","Men's Health Plus","40-60","Male","none","prostate screening,ECG","2025-11-01","09:00","IST"
"City General Hospital","PKG005","Senior Care","60+","Male/Female","none","colonoscopy,bone density","2025-08-14","11:00","IST"
"Apex Medical","PKG007","Thyroid Screening","30-70","Female","none","TSH,T4 test","2025-08-24","15:30","IST"
"City General Hospital","PKG006","Women's Health Basic","18-40","Female","none","pap smear,blood test","2025-12-16","13:00","IST"
"Metro Health Center","PKG002","Cardiac Screening","50-70","Male/Female","diabetes","ECG,stress test","2025-10-08","12:00","IST"
"Metro Health Center","PKG004","Diabetic Screening","30-70","Male/Female","diabetes","HbA1c,blood glucose","2025-09-28","14:30","IST"
"City General Hospital","PKG004","Diabetic Screening","30-70","Male/Female","diabetes","HbA1c,blood glucose","2025-12-31","09:30","IST"
"City General Hospital","PKG006","Women's Health Basic","18-40","Female","none","pap smear,blood test","2025-11-02","11:30","IST"
"Sunrise Hospital","PKG008","Men's Health Plus","40-60","Male","none","prostate screening,ECG","2025-12-03","09:00","IST"
"City General Hospital","PKG007","Thyroid Screening","30-70","Female","none","TSH,T4 test","2025-12-08","13:30","IST"
"Metro Health Center","PKG004","Diabetic Screening","30-70","Male/Female","diabetes","HbA1c,blood glucose","2025-08-30","13:00","IST"
"Metro Health Center","PKG002","Cardiac Screening","50-70","Male/Female","diabetes","ECG,stress test","2025-09-26","09:30","IST"
"Metro Health Center","PKG003","Basic Checkup","18-40","Male/Female","none","blood test,urine test","2025-11-27","15:00","IST"
"Apex Medical","PKG005","Senior Care","60+","Male/Female","none","colonoscopy,bone density","2025-11-27","13:30","IST"
"City General Hospital","PKG001","Women's Health Plus","40-60","Female","hypertension","blood pressure,mammogram,ECG","2025-11-08","09:30","IST"
"Apex Medical","PKG003","Basic Checkup","18-40","Male/Female","none","blood test,urine test","2025-12-29","13:30","IST"
"Apex Medical","PKG006","Women's Health Basic","18-40","Female","none","pap smear,blood test","2025-09-09","13:30","IST"
"Metro Health Center","PKG003","Basic Checkup","18-40","Male/Female","none","blood test,urine test","2025-12-27","11:00","IST"
"City General Hospital","PKG005","Senior Care","60+","Male/Female","none","colonoscopy,bone density","2025-10-28","09:30","IST"
